ALLIANCE_WE_ACCEPT_SETUP;Quando aceitamos a oferta de aliança de outra nação;Si nous acceptons l'offre d'alliance d'une autre nation;Wenn wir das Bündnisangebot einer anderen Nation annehmen.;;Cuando aceptamos la oferta de alianza de otra nación;;;;;;;;;x;
ALLIANCE_OTHER_ACCEPT_SETUP;Quando uma nação aceita uma oferta de aliança de outra nação;Si une nation accepte l'offre d'alliance d'une autre;Wenn eine Nation das Bündnisangebot einer anderen Nation akzeptiert.;;Cuando una nación acepta la oferta de alianza de otra nación;;;;;;;;;x;
ALLIANCE_THEY_DECLINE_SETUP;Quando uma nação recusa nossa oferta de aliança;Si une nation refuse notre offre d'alliance;Wenn eine Nation unser Bündnisangebot ablehnt.;;Cuando una nación rechaza nuestra oferta de alianza;;;;;;;;;x;
ALLIANCE_WE_DECLINE_SETUP;Quando recusamos a oferta de aliança de outra nação;Si nous refusons l'offre d'alliance d'une autre nation;Wenn wir das Bündnisangebot einer anderen Nation ablehnen.;;Cuando rechazamos la oferta de alianza de otra nación;;;;;;;;;x;
ALLIANCE_OTHER_DECLINE_SETUP;Quando uma nação recusa a oferta de aliança de outra nação;Si une nation refuse l'offre d'alliance d'une autre;Wenn eine Nation das Bündnisangebot einer anderen Nation ablehnt.;;Cuando una nación rechaza la oferta de alianza de otra nación;;;;;;;;;x;
CANCELALLIANCE_THEY_ACCEPT_SETUP;Quando cancelamos uma aliança com outra nação;Si nous annulons une alliance avec une autre nation.;Wenn wir ein Bündnis mit einer anderen Nation annullieren.;;Cuando cancelamos una alianza con otra nación;;;;;;;;;x;
CANCELALLIANCE_WE_ACCEPT_SETUP;Quando uma nação cancela sua aliança conosco;Si une nation annule son alliance avec nous;Wenn eine Nation ihr Bündnis mit uns annulliert.;;Cuando una nación cancela su alianza con nosotros;;;;;;;;;x;
CANCELALLIANCE_OTHER_ACCEPT_SETUP;Quando uma nação cancela sua aliança com outra nação;Si une nation annule son alliance avec une autre;Wenn eine Nation ihr Bündnis mit einer anderen Nation annulliert.;;Cuando una nación cancela su alianza con otra nación;;;;;;;;;x;
CALLALLY_THEY_ACCEPT_SETUP;Quando uma nação aceita nosso chamado às armas;Si une nation accepte notre appel aux armes;Wenn eine Nation unseren Ruf zu den Waffen akzeptiert.;;Cuando una nación acepta nuestra llamada a las armas;;;;;;;;;x;
CALLALLY_WE_ACCEPT_SETUP;Quando aceitamos o chamado de armas de uma nação;Si nous acceptons l'appel aux armes d'une nation;Wenn wir den Ruf zu den Waffen einer Nation akzeptieren.;;Cuando aceptamos la llamada a las armas de una nación;;;;;;;;;x;
CALLALLY_OTHER_ACCEPT_SETUP;Quando uma nação aceita o chamado de armas de outra nação;Si une nation accepte l'appel aux armes d'une autre;Wenn eine Nation den Ruf zu den Waffen einer anderen Nation akzeptiert.;;Cuando una nación acepta la llamada a las armas de otra nación;;;;;;;;;x;
CALLALLY_THEY_DECLINE_SETUP;Quando uma nação recusa nossa chamada às armas;Si une nation refuse notre appel aux armes;Wenn eine Nation unseren Ruf zu den Waffen ablehnt.;;Cuando una nación rechaza nuestra llamada a las armas;;;;;;;;;x;
CALLALLY_WE_DECLINE_SETUP;Quando recusamos o chamado de uma nação às armas;Si nous refusons l'appel aux armes d'une nation;Wenn wir den Ruf zu den Waffen einer Nation ablehnen.;;Cuando rechazamos la llamada a las armas de una nación;;;;;;;;;x;
CALLALLY_OTHER_DECLINE_SETUP;Quando uma nação recusa o chamado de armas de outra nação;Si une nation décline l'appel aux armes d'une autre;Wenn eine Nation den Ruf zu den Waffen einer anderen Nation ablehnt.;;Cuando una nación rechaza la llamada a las armas de otra nación;;;;;;;;;x;
DISCREDIT_THEY_ACCEPT_SETUP;Quando desacreditamos uma nação;Si nous discréditons une nation;Wenn wir eine Nation in Verruf bringen.;;Cuando desacreditamos a una nación;;;;;;;;;x;
DISCREDIT_WE_ACCEPT_SETUP;Quando uma nação desacredita outra nação em nosso país;Si une nation en discrédite une autre de notre pays;Wenn eine Nation eine andere Nation in unserem Land in Verruf bringt.;;Cuando una nación desacredita a otra nación en nuestro país;;;;;;;;;x;
DISCREDIT_OTHER_ACCEPT_SETUP;Quando uma nação desacredita outra nação;Si une nation en discrédite une autre;Wenn eine Nation eine andere Nation in Verruf bringt.;;Cuando una nación desacredita a otra nación;;;;;;;;;x;
EXPELADVISORS_THEY_ACCEPT_SETUP;Quando expulsamos os conselheiros de uma nação;Si nous expulsons les conseillers d'une nation;Wenn wir die Berater einer Nation ausweisen.;;Cuando expulsamos a los consejeros de una nación;;;;;;;;;x;
EXPELADVISORS_WE_ACCEPT_SETUP;Quando uma nação expulsa os conselheiros de outra nação em nosso país;Si une nation expulse les conseillers d'une autre dans notre pays;Wenn eine Nation die Berater einer anderen Nation in unser Land ausweist.;;Cuando una nación expulsa a los consejeros de otra nación en nuestro país;;;;;;;;;x;
EXPELADVISORS_OTHER_ACCEPT_SETUP;Quando uma nação expulsa os conselheiros de outra nação;Si une nation expulse les conseillers d'une autre;Wenn eine Nation die Berater einer anderen Nation ausweist.;;Cuando una nación expulsa a los consejeros de otra nación;;;;;;;;;x;
BANEMBASSY_THEY_ACCEPT_SETUP;Quando banimos a embaixada de uma nação;Si nous interdisons l'ambassade d'une nation;Wenn wir die Botschaft einer Nation verbannen.;;Cuando cerramos la embajada de otra nación;;;;;;;;;x;
BANEMBASSY_WE_ACCEPT_SETUP;Quando uma nação proíbe a embaixada de outra nação em nosso país;Si une nation interdit l'ambassade d'une autre dans notre pays;Wenn eine Nation die Botschaft einer anderen Nation in unser Land verbannt.;;Cuando una nación cierra la embajada de otra nación en nuestro país;;;;;;;;;x;
BANEMBASSY_OTHER_ACCEPT_SETUP;Quando uma nação proíbe a embaixada de outra nação;Si une nation interdit l'ambassade d'une autre;Wenn eine Nation die Botschaft einer anderen Nation verbannt.;;Cuando una nación cierra la embajada de otra nación;;;;;;;;;x;
INCREASEOPINION_THEY_ACCEPT_SETUP;Quando aumentamos a opinião de nós em uma nação;Si nous améliorons l'opinion d'une nation à notre égard;Wenn wir die Meinung über uns in einer Nation verbessern.;;Cuando mejoramos la opinión hacia nosotros en una nación;;;;;;;;;x;
INCREASEOPINION_WE_ACCEPT_SETUP;Quando uma nação aumenta a opinião de si em nosso país;Si une nation améliore l'opinion de notre pays à son égard;Wenn eine Nation die Meinung über sich in unserem Land verbessert.;;Cuando una nación mejora la opinión hacia ella en nuestro país;;;;;;;;;x;
INCREASEOPINION_OTHER_ACCEPT_SETUP;Quando uma nação aumenta a opinião de si mesma em outra nação;Si une nation améliore l'opinion d'une autre nation à son égard;Wenn eine Nation die Meinung über sich in einer anderen Nation verbessert.;;Cuando una nación mejora la opinión hacia ella en otra nación;;;;;;;;;x;
DECREASEOPINION_THEY_ACCEPT_SETUP;Quando diminuímos a opinião de outra nação;Si nous diminuons l'opinion d'une autre nation;Wenn wir die Meinung über eine andere Nation verschlechtern.;;Cuando empeoramos la opinión hacia otra nación;;;;;;;;;x;
DECREASEOPINION_WE_ACCEPT_SETUP;Quando uma nação diminui a opinião de outra nação em nosso país;Si une nation diminue l'opinion d'une autre dans notre pays;Wenn eine Nation die Meinung über eine andere Nation in unserem Land verschlechtert.;;Cuando una nación empeora la opinión hacia otra nación en nuestro país;;;;;;;;;x;
DECREASEOPINION_OTHER_ACCEPT_SETUP;Quando uma nação diminui a opinião de outra nação;Si une nation diminue l'opinion d'une autre;Wenn eine Nation die Meinung über eine andere Nation verschlechtert.;;Cuando una nación empeora la opinión hacia otra nación;;;;;;;;;x;
ADDTOSPHERE_THEY_ACCEPT_SETUP;Quando nós adicionamos uma nação à nossa Esfera de Influência;Si nous ajoutons une nation à notre sphère d'influence;Wenn wir eine Nation unserer Einflusssphäre hinzufügen.;;Cuando añadimos una nación a nuestra Esfera de influencia;;;;;;;;;x;
ADDTOSPHERE_WE_ACCEPT_SETUP;Quando somos adicionados à Esfera de Influência de uma nação;Si nous sommes ajoutés à la sphère d'influence d'une nation;Wenn wir zur Einflusssphäre einer Nation hinzugefügt werden.;;Cuando somos añadidos a la Esfera de influencia de una nación;;;;;;;;;x;
ADDTOSPHERE_OTHER_ACCEPT_SETUP;Quando uma nação é adicionada à Esfera de Influência de outra nação;Si une nation est ajoutée à la sphère d'influence d'une autre;Wenn eine Nation zur Einflusssphäre einer anderen Nation hinzugefügt wird.;;Cuando una nación es añadida a la Esfera de influencia de otra nación;;;;;;;;;x;
REMOVEFROMSPHERE_THEY_ACCEPT_SETUP;Quando removemos uma nação da Esfera de Influência de outra nação;Si nous supprimons une nation de la sphère d'influence d'une autre nation;Wenn wir eine Nation aus der Einflusssphäre einer anderen Nation entfernen.;;Cuando una nación es eliminada de la Esfera de influencia de otra nación;;;;;;;;;x;
REMOVEFROMSPHERE_WE_ACCEPT_SETUP;Quando somos removidos da Esfera de Influência de outra nação;Si nous sommes supprimés de la sphère d'influence d'une autre nation;Wenn wir aus der Einflusssphäre einer anderen Nation entfernt werden.;;Cuando somos eliminados de la Esfera de influencia de otra nación;;;;;;;;;x;
REMOVEFROMSPHERE_OTHER_ACCEPT_SETUP;Quando uma nação é removida da Esfera de Influência de outra nação;Si une nation est supprimée de la sphère d'influence d'une autre;Wenn eine Nation aus der Einflusssphäre einer anderen Nation entfernt wird.;;Cuando una nación es eliminada de la Esfera de influencia de otra nación;;;;;;;;;x;
INCREASERELATION_THEY_ACCEPT_SETUP;Quando aumentamos nossas relações com uma nação;Si nous améliorons nos relations avec une nation;Wenn wir unsere Beziehungen zu einer Nation verbessern.;;Cuando aumentamos nuestra relación con una nación;;;;;;;;;x;
INCREASERELATION_WE_ACCEPT_SETUP;Quando uma nação aumenta suas relações conosco;Si une nation améliore ses relations avec nous;Wenn eine Nation ihre Beziehungen zu uns verbessert.;;Cuando una nación aumenta su relación con nosotros;;;;;;;;;x;
INCREASERELATION_OTHER_ACCEPT_SETUP;Quando uma nação aumenta suas relações com outra nação;Si une nation améliore ses relations avec une autre;Wenn eine Nation ihre Beziehungen zu einer anderen Nation verbessert.;;Cuando una nación aumenta su relación con otra nación;;;;;;;;;x;
DECREASERELATION_THEY_ACCEPT_SETUP;Quando diminuímos nossas relações com uma nação;Si nous diminuons nos relations avec une nation;Wenn wir unsere Beziehungen zu einer Nation verschlechtern.;;Cuando reducimos nuestra relación con una nación;;;;;;;;;x;
DECREASERELATION_WE_ACCEPT_SETUP;Quando uma nação diminui suas relações conosco;Si une nation diminue ses relations avec nous;Wenn eine Nation ihre Beziehungen zu uns verschlechtert.;;Cuando una nación reduce su relación con nosotros;;;;;;;;;x;
DECREASERELATION_OTHER_ACCEPT_SETUP;Quando uma nação diminui suas relações com outra nação;Si une nation diminue ses relations avec une autre;Wenn eine Nation ihre Beziehungen zu einer anderen Nation verschlechtert.;;Cuando una nación reduce su relación con otra nación;;;;;;;;;x;
WETARGET_DISCREDIT_SETUP;Quando nós fomos desacreditados por outra nação;Si nous avons été discrédités par une autre nation;Wenn wir von einer anderen Nation in Verruf gebracht wurden.;;Cuando una nación nos ha desacreditado;;;;;;;;;x;
WETARGET_EXPELADVISORS_SETUP;Quando nossos conselheiros foram expulsos por outra nação;Si nos conseillers ont été expulsés par une autre nation;Wenn unsere Berater von einer anderen Nation ausgewiesen wurden.;;Cuando nuestros consejeros han sido expulsados de otra nación;;;;;;;;;x;
WETARGET_BANEMBASSY_SETUP;Quando nossa embaixada foi banida por outra nação;Si notre ambassade est interdite par une autre nation;Wenn unsere Botschaft von einer anderen Nation verbannt wurde.;;Cuando nuestra embajada ha sido cerrada por otra nación;;;;;;;;;x;
WETARGET_DECREASEOPINION_SETUP;Quando uma nação abaixa a opinião de nós em outra nação;Si une nation diminue l'opinion à notre égard dans une autre;Wenn eine Nation die Meinung über uns in einer anderen Nation verringert.;;Cuando una nación empeora la opinión hacia nosotros en otra nación;;;;;;;;;x;
WETARGET_REMOVEFROMSPHERE_SETUP;Quando uma nação remove outra nação da nossa Esfera de Influência;Si une nation en supprime une autre de notre sphère d'influence;Wenn eine Nation eine andere Nation aus unserer Einflusssphäre entfernt.;;Cuando una nación elimina de nuestra Esfera de influencia a otra nación;;;;;;;;;x;
WAR_WE_ACCEPT_SETUP;Quando uma nação declara guerra a nós;Si une nation nous déclare la guerre;Wenn uns eine Nation den Krieg erklärt.;;Cuando una nación nos declara la guerra;;;;;;;;;x;
PEACE_WE_ACCEPT_SETUP;Quando aceitamos uma oferta de paz;Si nous acceptons une offre de paix;Wenn wir ein Friedensangebot annehmen.;;Cuando aceptamos una oferta de paz;;;;;;;;;x;
PEACE_THEY_ACCEPT_SETUP;Quando uma nação aceita nossa oferta de paz;Si une nation accepte notre offre de paix;Wenn eine Nation unser Friedensangebot akzeptiert.;;Cuando una nación acepta nuestra oferta de paz;;;;;;;;;x;
PEACE_OTHER_ACCEPT_SETUP;Quando uma nação aceita a oferta de paz de outra nação;Si une nation accepte l'offre de paix d'une autre;Wenn eine Nation das Friedensangebot einer anderen Nation akzeptiert.;;Cuando una nación acepta la oferta de paz de otra nación;;;;;;;;;x;
PEACE_WE_DECLINE_SETUP;Quando recusamos uma oferta de paz;Si nous refusons une offre de paix;Wenn wir ein Friedensangebot ablehnen.;;Cuando rechazamos una oferta de paz;;;;;;;;;x;
PEACE_THEY_DECLINE_SETUP;Quando uma nação recusa nossa oferta de paz;Si une nation refuse notre offre de paix;Wenn eine Nation unser Friedensangebot ablehnt.;;Cuando una nación rechaza nuestra oferta de paz;;;;;;;;;x;
PEACE_OTHER_DECLINE_SETUP;Quando uma nação recusa a oferta de paz de outra nação;Si une nation refuse l'offre de paix d'une autre;Wenn eine Nation das Friedensangebot einer anderen Nation ablehnt.;;Cuando una nación rechaza la oferta de paz de otra nación;;;;;;;;;x;
INTERVENTION_OUR_SIDE_SETUP;Quando uma nação intervém em uma guerra e se junta ao nosso lado;Si une nation prend parti dans une guerre et rejoint notre camp;Wenn eine Nation auf unserer Seite in einen Krieg eintritt.;;Cuando una nación interviene en una guerra y se une a nuestro bando;;;;;;;;;x;
INTERVENTION_THEIR_SIDE_SETUP;Quando uma nação intervém em uma guerra e se junta ao lado de nossos inimigos;Si une nation prend parti dans une guerre et rejoint le camp ennemi;Wenn eine Nation auf der Seite unserer Feinde in einen Krieg eintritt.;;Cuando una nación interviene en una guerra y se une al bando de nuestros enemigos;;;;;;;;;x;
INTERVENTION_OTHER_SIDE_SETUP;Quando uma nação intervém em uma guerra;Si une nation prend parti dans une guerre;Wenn eine Nation in einen Krieg eintritt.;;Cuando una nación interviene en una guerra;;;;;;;;;x;
WE_INTERVENED_SETUP;Quando nós intervimos em uma guerra;Si nous prenons parti dans une guerre;Wenn wir in einen Krieg eintreten.;;Cuando intervenimos en una guerra;;;;;;;;;x;
GUNBOAT_WE_ACCEPT_SETUP;Quando somos o alvo da diplomacia de canhoneira;Si nous sommes la cible d'une diplomatie de la canonnière;Wenn wir das Ziel von Kanonenbootdiplomatie sind.;;Cuando están utilizando contra nosotros la 'diplomacia de los cañones';;;;;;;;;x;
GUNBOAT_THEY_ACCEPT_SETUP;Quando estamos usando a diplomacia de canhoneira contra uma nação;Si nous utilisons la diplomatie de la canonnière contre une nation;Wenn wir Kanonenbootdiplomatie gegen eine Nation einsetzen.;;Cuando estamos utilizando contra otra nación la 'diplomacia de los cañones';;;;;;;;;x;
GUNBOAT_OTHER_ACCEPT_SETUP;Quando uma nação está usando diplomacia de canhoneira contra outra nação;Si une nation utilise la diplomatie de la canonnière contre une;Wenn eine Nation Kanonenbootdiplomatie gegen eine andere Nation einsetzt.;;Cuando una nación usa la 'diplomacia de los cañones' contra otra nación;;;;;;;;;x;
EVTDESC16010;O corpo de John Brown está a mofar no túmulo, mas sua alma está marchando.'--Corpo de John Brown, hino da causa abolicionista\n\nO famoso herói do movimento abolicionista, o falecido John Brown, foi enforcado hoje em Charles Town, Virgínia, depois de um ataque fracassado a um arsenal militar. Supostamente, Brown havia planejado usar as armas do arsenal para armar escravos e incitar uma rebelião aberta de escravos por todo o sul. O ataque, e a morte de John Brown, aumentaram a tensão do sul sobre a questão da escravidão e, em alguns estados escravistas, fala-se agora em secessão da União.;John Brown's body lies a-mouldering in the grave, but his soul is marching on. (Le corps de John Brown gît dans la tombe. Son âme, elle, marche parmi nous). -- John Brown's Body, hymne de la cause abolitionniste\n\nLe héros du mouvement abolitionniste, feu John Brown, a aujourd'hui été pendu à Charles Town, en Virginie, après l'échec de son raid contre une armurerie militaire. On dit que Brown prévoyait d'utiliser les armes de l'arsenal pour armer les esclaves et instiguer une rébellion de ceux-ci dans tout le sud. Le raid et la mort de John Brown ont aggravé les tensions sur la question de l'esclavage, et certains États sudistes envisagent même de faire sécession.;John Brown's body lies a-mouldering in the grave, but his soul is marching on.'--John Brown's Body, Marschlied der Union\n\nDer Held der Abolitionismus-Bewegung, John Brown, wurde heute in Charles Town, Virginia, nach einem fehlgeschlagenen Überfall auf ein Waffenlager der Armee gehängt. Angeblich hatte Brown geplant mit den Waffen aus dem Waffenlager Sklaven zu bewaffnen und den gesamten Süden mit einem Sklavenaufstand zu überziehen. Der Überfall und Browns Tod haben die Spannungen im Süden hinsichtlich der Sklavenfrage weiter eskaliert, und in manchen Sklavenstaaten wird nun offen über die Abspaltung von der Union diskutiert.;;El cuerpo de John Brown yace en la tumba, pero su alma está marchando. El cuerpo de John Brown, canción de marcha de la Unión\n\nEl héroe famoso del movimiento abolicionista, el difunto John Brown, fue colgado hoy en Charles Town, Virginia, después de un asalto fallido a una armería militar. Supuestamente, Brown había planeado usar el arsenal de armas para equipar a los esclavos e incitarlos a una rebelión abierta por todo el sur. El asalto y la muerte de John Brown, han hecho que la tensión sobre la esclavitud aumente en el sur y, en algunos estados esclavistas, ahora incluso se habla de la secesión de la Unión.;;;;;;;;;x;
USA_220;Distrito de Columbia;District de Columbia;District of Columbia;;Distrito de Columbia;;;;;;;;;x;
USA_218;Virgínia Ocidental;Virginie occidentale;West Virginia;;Virginia Occidental;;;;;;;;;x;
USA_219;Maryland;Maryland;Maryland;;Maryland;;;;;;;;;x;
EVTDESC16000;"Uma casa dividida contra si mesma não subsistirá. Acredito que esse governo, meio escravista e meio livre, não poderá durar para sempre. Não espero que a União se dissolva; não espero que a casa caia. Mas espero que deixe de ser dividida. Ela se transformará só numa coisa ou só na outra.' -- Abraham Lincoln\n\nAcabou. Depois de décadas de debate público sobre a questão da escravidão, todas as tentativas de compromisso falharam. Esta manhã os membros do Congresso dos Estados do Sul renunciaram e os estados escravistas se separaram. Os estados de Missouri e Maryland, bem como a parte ocidental da Virgínia, declararam-se a favor da União e Washington está sob o controle das tropas unionistas. Um forte vento sul sopra em nossa casa dividida.";Une maison divisée contre elle-même ne peut pas rester debout. Je crois que ce gouvernement ne peut pas durer, étant à moitié esclave et à moitié libre. Je n'attends pas que l'Union puisse être dissoute - je n'attends pas que la maison croule - mais j’attends qu'elle cesse d'être divisée. Elle deviendra ou toute d'une chose ou toute de l'autre. -- Abraham Lincoln\n\nC'est fini. Après des décennies de débats publics sur la question de l'esclavage, toutes les tentatives de compromis ont échoué. Ce matin, les membres du Congrès des États sudistes ont démissionné de leur poste et les États esclavagistes ont fait sécession. Les États du Missouri et du Maryland, ainsi que la partie occidentale de la Virginie, se sont déclarés en faveur de l'Union et Washington est sous le contrôle des troupes unionistes. Un fort vent sudiste souffle sur notre maison divisée.;Ein gespaltenes Haus ist nicht überlebensfähig. Ich glaube, dass diese Regierung, eine Hälfte Freiheitsliebende, eine Hälfte Sklavenhalter, nicht auf Dauer Bestand haben kann. Ich erwarte nicht die Auflösung der Union — und ich erwarte nicht den Untergang des Hauses — aber ich erwarte, dass es sich nicht mehr uneins sein wird. Entweder wird Letzteres passieren oder all das Vorhergesagte.' -- Abraham Lincoln\n\nEs ist vorbei. Alle Kompromissversuche, alle öffentlichen Diskussionen bezüglich der Sklaverei sind endgültig gescheitert. An diesem Morgen sind die Kongressabgeordneten der Südstaaten geschlossen von ihren Ämtern zurückgetreten, und die Sklavenstaaten haben ihre Abspaltung von der Union erklärt. Die Staaten Missouri und Maryland haben sich zusammen mit dem westlichen Teil Virginias der Union und Washington D.C. angeschlossen. steht unter der Kontrolle von Unionstruppen. Der Wind des Südens bläst stark gegen unser gespaltenes Haus.;;Una casa dividida contra sí misma no puede resistir. Creo que este gobierno no puede aguantar permanentemente, que la mitad sean esclavos y la otra mitad hombres libres. No espero que la Unión se disuelva. No espero que la casa se derrumbe, pero espero que deje de estar dividida. 'Sucederá una cosa o la otra'. Abraham Lincoln\n\nSe ha acabado. Todos los intentos de compromiso, los esfuerzos durante décadas de discurso público sobre el tema de la esclavitud han fallado. Esta mañana, los congresistas de los estados del sur, dimitieron de sus puestos, y los estados esclavistas declararon la secesión de la Unión perpetua. Los estados de Missouri y Maryland, junto a la parte occidental de Virginia, se han declarado independientes de la Unión y Washington D.C. está bajo el control el control de las tropas de la Unión. Un viento del sur sopla fuerte sobre nuestra casa dividida.;;;;;;;;;x;
emancipation_proclamation_title;Proclamação da Emancipação;Proclamation d'émancipation;Emanzipationserklärung;;Proclamación de Emancipación;;;;;;;;;x;
emancipation_proclamation_desc;A Proclamação da Emancipação é o nome coletivo para duas ordens presidenciais executivas emitidas pelo Presidente Abraham Lincoln durante a Guerra Civil, declarando a emancipação de todos os escravos no sul dos Estados Unidos. Ao publicar a Proclamação da Emancipação, deixaremos ao mundo a certeza de que as apostas na presente guerra não são nada além da liberdade de todos os homens negros da União.;La Proclamation d'émancipation désigne deux décrets du président des États-Unis Abraham Lincoln pendant la guerre de Sécession déclarant libre tout esclave résidant sur le territoire de la Confédération. Avec la Proclamation d'émancipation, nous ferons savoir au monde entier que les enjeux de la guerre actuelle ont pour unique objectif d'affranchir tous les hommes noirs de l'Union.;Die Emanzipationserklärung ist die Kollektivbezeichnung für zwei präsidiale Anweisungen von Präsident Abraham Lincoln während des Bürgerkriegs, die alle Sklaven in den Südstaaten der USA zu freien Menschen erklärten. Durch die Veröffentlichung der Emanzipationserklärung werden wir die Welt wissen lassen, dass es im derzeitigen Krieg um nichts Wenigeres geht als die Freiheit aller dunkelhäutigen Menschen geht, die in den Unionsstaaten leben.;;La Proclamación de Emancipación es el nombre colectivo para dos órdenes presidenciales ejecutivas, dadas por el Presidente Abraham Lincoln durante la Guerra Civil, declarando la emancipación de todos los esclavos de los Estados Unidos del Sur. Mediante la Proclamación de Emancipación, hacemos saber al mundo que los intereses de la presente guerra no son nada menos que la libertad de todos los hombres de raza negra de la Unión.;;;;;;;;;x;
GC_DESC;Parecia que os ideais da Revolução Francesa haviam encontrado o seu fim nas mãos dos estados do Antigo Regime da Europa. As chamas da revolução podem ter morrido por enquanto, mas as idéias de nacionalismo e liberalismo nunca morrerão. Nesta nova era de progresso tecnológico sem precedentes, surgirão dúvidas sobre certezas que permaneceram inalteradas desde tempos imemoriais. Longe, além do mar, estão as riquezas da Ásia e da África. Maestro, escolha seu instrumento e deixe a música começar.;Le calme est revenu à Waterloo où les idéaux de la Révolution française semblaient avoir pris fin aux mains des anciens régimes d'Europe. Après les tribulations des guerres napoléoniennes, le consensus établi au Congrès de Vienne permit de rétablir un calme relatif sur un continent en proie aux troubles. Bien que les flammes de la révolution aient été, pour un temps, étouffées, les idéaux de liberté, de nationalisme et de libéralisme ne tardèrent pas à se révéler plus vivants que jamais. En Amérique, ces mêmes idéaux menacent de plonger la jeune république dans les tumultes d'une guerre civile. La princesse Victoria a 16 ans et va bientôt accéder au trône britannique, le plus grand empire industriel que le monde ait jamais connu. Cette accession, pour un règne aussi long que prospère, marque le début d'une ère qui va durer jusqu'à la Première Guerre mondiale. Au cours de cette nouvelle ère de progrès technologiques sans précédent, les certitudes de temps immémoriaux laisseront places à des doutes.;Der Staub über den Feldern von Waterloo, wo die Ideale der französischen Revolution vermeintlich durch die Hände der alten europäischen Regimes fielen, hat sich gelegt. Nach den Sorgen der napoleonischen Kriege hat der auf dem Wiener Kongress erreichte Konsens einem aufgewühlten Kontinent vorübergehend Ruhe verschafft. Obwohl die Flammen der Revolution nun vorerst erloschen sind, werden die Ideen menschliche Freiheit, Nationalismus und Liberalismus sich schon bald lebendiger als je zuvor zeigen. In den Amerikas drohen dieselben Ideen, eine junge Republik in die Verheerungen eines Bürgerkriegs zu stürzen. Prinzessin Victoria ist 16 Jahre alt und wird schon bald den Thron Großbritanniens besteigen, der größten Industriemacht, die es jemals gegeben hat. Ihre Thronbesteigung, Auftakt einer langen und erfolgreichen Regentschaft, markiert den Beginn eines Zeitalters, das sich bis zum ersten Weltkrieg erstreckt. In dieser Ära unübertroffener technologischer Fortschritte werden vielen althergebrachte Bestimmtheiten angezweifelt werden und neue Dogmen ihre Plätze einnehmen. Weit entfernt warten die Reichtümer Asiens und Afrikas und das Herz der Finsternis darauf, endlich auch im Konzert Europas besungen zu werden. Maestro, wählen Sie Ihr Instrument, und lassen Sie die Musik spielen.;;Parecía que los ideales de la Revolución Francesa habían encontrado su fin a manos de los estados del Antiguo Régimen de Europa. Las llamas de la revolución pueden haberse apagado por ahora, pero las ideas del nacionalismo y el liberalismo no morirán nunca. En esta nueva era de progreso tecnológico sin precedentes, se plantearán dudas sobre certezas que han permanecido inalterables desde tiempos inmemoriales. Muy lejos, más allá del mar, se hallan las riquezas de Asia y África. Maestro, elija su instrumento y que empiece la música.;;;;;;;;;x;
HAVE_MORE_NATIONAL_PROVINCES_OCCUPIED_THAN;A porcentagem de províncias nacionais ocupadas é maior que:;Le pourcentage de provinces nationales occupées est supérieur à : ;Der Prozentsatz der besetzten nationalen Provinzen ist größer als:;;El porcentaje de provincias nacionales ocupadas es mayor de: ;;;;;;;;;x;
BLOCKADE_PENALTY_MORE_THAN;A porcentagem de portos bloqueados é maior que:;Le pourcentage de ports sous blocus est supérieur à : ;Der Prozentsatz blockierter Häfen ist größer als:;;El porcentaje de puertos bloqueados es mayor de: ;;;;;;;;;x;
PEACE_WHITEPEACE;Paz Branca;Paix blanche ;Weißer Frieden;;Cese de hostilidades;;;;;;;;;x;
PEACE_WE_DECLINE_6;$TERMS$;$TERMS$;$TERMS$;;$TERMS$;;;;;;;;;x;
PEACE_THEY_DECLINE_5;Termos: $TERMS$;Conditions : $TERMS$;Bedingungen: $TERMS$;;Condiciones: $TERMS$;;;;;;;;;x;
PEACE_OTHER_DECLINE_6;Termos: $TERMS$;Conditions : $TERMS$;Bedingungen: $TERMS$;;Condiciones: $TERMS$;;;;;;;;;x;
INCREASERELATION_WE_ACCEPT_LOG;$ACTOR$ aumentou suas relações conosco.;$ACTOR$ a amélioré ses relations avec nous.;$ACTOR$ hat die Beziehungen zu uns verbessert.;;$ACTOR$ ha aumentado sus relaciones con nosotros.;;;;;;;;;x;
DECREASERELATION_WE_ACCEPT_LOG;$ACTOR$ diminuiu suas relações conosco.;$ACTOR$ a détérioré ses relations avec nous.;$ACTOR$ hat die Beziehungen zu uns verschlechtert.;;$ACTOR$ ha disminuido sus relaciones con nosotros.;;;;;;;;;x;
EVTNAME13015;Insultos graves!;Grave insulte !;Schwerwiegende Beleidigungen!;;¡Insultos graves!;;;;;;;;;x;
